Importer M.49,Importer ISO3,Importer,Importer region,Year,Value (1000USD),Weight (1000kg)
757,CHE,Switzerland,Europe,2012,133433602.4,51424983.42
760,SYR,Syria,Northern Africa and Western Asia,2012,2750988.137,5617637.393
762,TJK,Tajikistan,Central and Southern Asia,2012,1249851.012,3164967.116
764,THA,Thailand,Eastern and South-Eastern Asia (excl. China),2012,94093264.51,124913158.2
768,TGO,Togo,Sub-Saharan Africa,2012,3776222.263,7300343.894
772,TKL,Tokelau,Oceania (excl. Australia and New Zealand),2012,20093.666,150816.746
776,TON,Tonga,Oceania (excl. Australia and New Zealand),2012,83654.64789,366925.6312
780,TTO,Trinidad and Tobago,Latin America and the Caribbean,2012,5832987.301,11235200.23
784,ARE,United Arab Emirates,Northern Africa and Western Asia,2012,78400235.31,56564046.59
788,TUN,Tunisia,Northern Africa and Western Asia,2012,8745210.173,13761008.24
792,TUR,Turkey,Northern Africa and Western Asia,2012,82199853.09,137344343.2
795,TKM,Turkmenistan,Central and Southern Asia,2012,1045659.809,1574552.258
796,TCA,Turks and Caicos Islands,Latin America and the Caribbean,2012,121554.4811,248708.3924
798,TUV,Tuvalu,Oceania (excl. Australia and New Zealand),2012,9010.918,14209.032
800,UGA,Uganda,Sub-Saharan Africa,2012,1893883.042,3483521.757
804,UKR,Ukraine,Europe,2012,39476306.12,76179570.18
807,MKD,North Macedonia,Europe,2012,3011913.839,5498324.616
818,EGY,Egypt,Northern Africa and Western Asia,2012,40391742.42,63960602.58
826,GBR,United Kingdom,Europe,2012,207777829.5,237227652.1
834,TZA,Tanzania,Sub-Saharan Africa,2012,5183359.641,7421727.236
837,,Bunkers,,2012,16767318.76,20636625.94
838,,Free Zones,,2012,4908645.754,8869407.886
839,,Special Categories,,2012,11100582.07,19257061.45
842,USA,United States,Northern America,2012,641873162.6,770577031.6
854,BFA,Burkina Faso,Sub-Saharan Africa,2012,1577971.517,3219268.032
858,URY,Uruguay,Latin America and the Caribbean,2012,4421639.466,5865434.678
860,UZB,Uzbekistan,Central and Southern Asia,2012,3092454.731,7556167.789
862,VEN,Venezuela,Latin America and the Caribbean,2012,15111237.52,27644521.95
876,WLF,Wallis and Futuna Islands,Oceania (excl. Australia and New Zealand),2012,11091.156,10538.667
882,WSM,Samoa,Oceania (excl. Australia and New Zealand),2012,170743.2607,186033.517
887,YEM,Yemen,Northern Africa and Western Asia,2012,7701859.621,14481460.83
894,ZMB,Zambia,Sub-Saharan Africa,2012,3090941.833,2872314.183
899,,"Areas, nes",,2012,173809540.2,220443243.6
4,AFG,Afghanistan,Central and Southern Asia,2013,5603003.95,18247265.5
8,ALB,Albania,Europe,2013,1863366.089,2881622.204
10,ATA,Antarctica,,2013,5718.485,3847.156
12,DZA,Algeria,Northern Africa and Western Asia,2013,18941065.07,33379812.07
16,ASM,American Samoa,Oceania (excl. Australia and New Zealand),2013,208065.293,259971.626
20,AND,Andorra,Europe,2013,306345.9547,482827.1246
24,AGO,Angola,Sub-Saharan Africa,2013,7628743.166,15331969.8
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,2013,604127.3953,636358.7586
31,AZE,Azerbaijan,Northern Africa and Western Asia,2013,2961953.908,8325168.824
32,ARG,Argentina,Latin America and the Caribbean,2013,15640980.38,28885975.4
36,AUS,Australia,Australia and New Zealand,2013,59411624.8,74709701.37
40,AUT,Austria,Europe,2013,47686778.64,75187535.84
44,BHS,Bahamas,Latin America and the Caribbean,2013,3577711.559,4906037.376
48,BHR,Bahrain,Northern Africa and Western Asia,2013,11666611.38,21577275.09
50,BGD,Bangladesh,Central and Southern Asia,2013,17107658.56,44411057.94
51,ARM,Armenia,Northern Africa and Western Asia,2013,1880489.877,3188423.912
52,BRB,Barbados,Latin America and the Caribbean,2013,1020493.123,1325511.088
56,BEL,Belgium,Europe,2013,154324752,211423421.3
60,BMU,Bermuda,Northern America,2013,280731.437,366169.8337
64,BTN,Bhutan,Central and Southern Asia,2013,94784.967,277955.377
68,BOL,Bolivia,Latin America and the Caribbean,2013,2026832.684,2573319.064
70,BIH,Bosnia Herzegovina,Europe,2013,3722823.741,5729028.419
72,BWA,Botswana,Sub-Saharan Africa,2013,5569865.163,2952704.364
74,BVT,Bouvet Island,,2013,0.003,0.005
76,BRA,Brazil,Latin America and the Caribbean,2013,75351295.38,132068134.6
84,BLZ,Belize,Latin America and the Caribbean,2013,500836.8805,1062055.56
86,IOT,British Indian Ocean Territory,,2013,76730.022,127588.183
90,SLB,Solomon Islands,Oceania (excl. Australia and New Zealand),2013,251062.1916,221979.5735
92,VGB,British Virgin Islands,Latin America and the Caribbean,2013,667666.493,1040217.598
96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),2013,760429.8015,1820555.894
100,BGR,Bulgaria,Europe,2013,15057929.24,18181014.62
104,MMR,Myanmar,Eastern and South-Eastern Asia (excl. China),2013,5177349.007,7892715.806
108,BDI,Burundi,Sub-Saharan Africa,2013,318526.2608,560788.9098
112,BLR,Belarus,Europe,2013,18523500.55,47888068.85
116,KHM,Cambodia,Eastern and South-Eastern Asia (excl. China),2013,3272840.96,6312414.079
120,CMR,Cameroon,Sub-Saharan Africa,2013,3306961.231,6373341.124
124,CAN,Canada,Northern America,2013,106083394.4,190266792.3
132,CPV,Cabo Verde,Sub-Saharan Africa,2013,442800.8096,813469.8389
136,CYM,Cayman Islands,Latin America and the Caribbean,2013,321410.208,648409.494
140,CAF,Central African Republic,Sub-Saharan Africa,2013,270798.3096,361020.6623
144,LKA,Sri Lanka,Central and Southern Asia,2013,8449488.086,15011440.8
148,TCD,Chad,Sub-Saharan Africa,2013,183190.056,273730.968
152,CHL,Chile,Latin America and the Caribbean,2013,24047319.5,43589861.29
156,CHN,China,China,2013,803784828.3,2167419107
162,CXR,Christmas Islands,,2013,13171.401,18585.122
166,CCK,Cocos Islands,,2013,684.571,616.833
170,COL,Colombia,Latin America and the Caribbean,2013,15736170.71,23479730.14
174,COM,Comoros,Sub-Saharan Africa,2013,122203.3935,353509.1366
175,MYT,Mayotte,Sub-Saharan Africa,2013,81727.073,121493.032
178,COG,"Congo, Republic",Sub-Saharan Africa,2013,1115888.554,2466902.495
180,COD,"Congo, Democratic Republic",Sub-Saharan Africa,2013,2015607.861,3035434.65
184,COK,Cook Islands,Oceania (excl. Australia and New Zealand),2013,25036.289,21520.834
188,CRI,Costa Rica,Latin America and the Caribbean,2013,4633758.358,6345655.619
191,HRV,Croatia,Europe,2013,7914740.111,13213940.73
192,CUB,Cuba,Latin America and the Caribbean,2013,2156265.574,3360304.4
196,CYP,Cyprus,Northern Africa and Western Asia,2013,4814202.65,6248770.384
203,CZE,Czech Republic,Europe,2013,32859189.97,47586623.89
204,BEN,Benin,Sub-Saharan Africa,2013,2179799.309,4575000.682
208,DNK,Denmark,Europe,2013,25859767.21,38574848.93
212,DMA,Dominica,Latin America and the Caribbean,2013,97423.511,349870.992
214,DOM,Dominican Republic,Latin America and the Caribbean,2013,8295604.438,10997549.38
218,ECU,Ecuador,Latin America and the Caribbean,2013,10447115.12,13793102.04
222,SLV,El Salvador,Latin America and the Caribbean,2013,3751404.807,5328921.4
226,GNQ,Equatorial Guinea,Sub-Saharan Africa,2013,530731.789,1232912.294
231,ETH,Ethiopia,Sub-Saharan Africa,2013,4083226.552,6047396.796
232,ERI,Eritrea,Sub-Saharan Africa,2013,98383.72,174361.694
233,EST,Estonia,Europe,2013,6993205.097,10356874.85
234,FRO,Faeroe Islands,Europe,2013,331541.514,474345.965
238,FLK,Falkland Islands (Malvinas),Latin America and the Caribbean,2013,55599.027,63841.996
239,SGS,South Georgia and the South Sandwich Islands,,2013,363.179,129.557
242,FJI,Fiji,Oceania (excl. Australia and New Zealand),2013,1212225.742,1404154.841
246,FIN,Finland,Europe,2013,30876034.93,54788435.97
251,FRA,France,Europe,2013,195982850.5,275054336.4
258,PYF,French Polynesia,Oceania (excl. Australia and New Zealand),2013,646864.4007,629576.2651
260,ATF,French Southern Territories,,2013,10653.961,11258.427
262,DJI,Djibouti,Sub-Saharan Africa,2013,960594.968,1950233.996
266,GAB,Gabon,Sub-Saharan Africa,2013,836911.939,1648304.034
268,GEO,Georgia,Northern Africa and Western Asia,2013,3500534.693,6484694.878
270,GMB,Gambia,Sub-Saharan Africa,2013,324930.699,992150.03
275,PSE,State of Palestine,Northern Africa and Western Asia,2013,2343238.669,3460478.39
